embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Published	Fe_An_BF_1	Antenna	18.61326546634298	31.4668132385099
separate_pca	Published	Fe_An_BF_2	Antenna	20.759918251058185	29.142838602282268
separate_pca	Published	Fe_An_BF_3	Antenna	25.194960709828496	31.197556929335224
separate_pca	Published	Fe_An_BF_4	Antenna	18.106709117552597	29.384177587180083
separate_pca	Published	Fe_An_O_2	Antenna	17.491047465710263	29.85697672185777
separate_pca	Published	Fe_An_O_3	Antenna	19.78262970352587	31.114648208059656
separate_pca	Published	Fe_An_O_4	Antenna	17.442298104234222	29.56606725733232
separate_pca	Published	Fe_An_SF_1	Antenna	29.43382608096168	30.12584136865764
separate_pca	Published	Fe_An_SF_2	Antenna	-13.23474514756681	22.433619488767686
separate_pca	Published	Fe_An_SF_3	Antenna	-10.851170390810125	22.933535736828077
separate_pca	Published	Fe_An_SF_4	Antenna	-1.5324151662987786	24.651778095323486
separate_pca	Published	Fe_An_SF_5	Antenna	24.36736380943509	33.5427450199204
separate_pca	Published	Fe_An_SF_6	Antenna	25.941024202658443	31.64246479982762
separate_pca	Published	Fe_An_SF_7	Antenna	27.00369285537504	32.24351498743317
separate_pca	Published	Fe_An_SF_8	Antenna	29.422620108346432	34.63446897233439
separate_pca	Published	Fe_At_O_1	Abdominal Tip	-9.394648223749162	-31.085369952289145
separate_pca	Published	Fe_At_O_2	Abdominal Tip	-31.36983202787546	-29.602374833139688
separate_pca	Published	Fe_At_O_3	Abdominal Tip	-27.821583494475156	-33.36627186931616
separate_pca	Published	Fe_At_O_4	Abdominal Tip	-18.56585501665267	-38.17273853656198
separate_pca	Published	Fe_At_O_5	Abdominal Tip	-20.30402214993474	-37.69358551428208
separate_pca	Published	Fe_At_O_6	Abdominal Tip	-8.262964121356703	-40.552406740295744
separate_pca	Published	Fe_At_O_7	Abdominal Tip	-32.673870308113095	-29.71446945906302
separate_pca	Published	Fe_At_SF_1	Abdominal Tip	-48.661830818757664	-34.79963890019036
separate_pca	Published	Fe_At_SF_2	Abdominal Tip	-47.41869987113129	-33.87895734132481
separate_pca	Published	Fe_At_SF_3	Abdominal Tip	-48.680748402874094	-33.585528148685576
separate_pca	Published	Fe_Br_BF_1	Brain	57.305069681117246	54.57613679083962
separate_pca	Published	Fe_Br_BF_2	Brain	59.025962675225536	59.80362460053443
separate_pca	Published	Fe_Br_BF_3	Brain	76.80334850424155	67.06717547162273
separate_pca	Published	Fe_Br_BF_4	Brain	71.11602558133599	63.36154571124906
separate_pca	Published	Fe_Br_O_1	Brain	65.35445461259842	61.0221833551575
separate_pca	Published	Fe_Br_O_2	Brain	57.10379096468904	58.41357409484356
separate_pca	Published	Fe_Br_O_3	Brain	75.19495413306213	65.52489078531411
separate_pca	Published	Fe_Br_O_4	Brain	77.53383801377389	64.40399086877606
separate_pca	Published	Fe_Br_SF_1	Brain	71.51543186642905	64.5439685554251
separate_pca	Published	Fe_Br_SF_4	Brain	74.55278325955713	63.58246822581011
separate_pca	Published	Fe_Br_SF_5	Brain	55.6270906661241	57.269414845982084
separate_pca	Published	Fe_Br_SF_6	Brain	56.078695173763734	58.76811477459043
separate_pca	Published	Fe_Br_SF_7	Brain	78.37841159129195	69.290378832623
separate_pca	Published	Fe_Br_SF_8	Brain	68.33458774860225	61.6540244805438
separate_pca	Published	Fe_FL_O_1	Forelegs	-37.31226799677393	-12.207533871799058
separate_pca	Published	Fe_FL_O_2	Forelegs	-39.91877610716521	-9.011319810408638
separate_pca	Published	Fe_FL_O_3	Forelegs	-38.15322990855501	-10.240152581544402
separate_pca	Published	Fe_FL_O_4	Forelegs	-45.05700383858732	-11.152154467958745
separate_pca	Published	Fe_FL_O_5	Forelegs	-47.14410138825715	-12.083173267163819
separate_pca	Published	Fe_FL_O_6	Forelegs	-47.29474733655451	-14.681147709973342
separate_pca	Published	Fe_FL_O_7	Forelegs	-51.01533567474986	-15.975058884590968
separate_pca	Published	Fe_FL_SF_1	Forelegs	-39.79821480451201	-10.844866520436604
