sample	pearson_log2_tpm_plus_1	spearman_log2_tpm_plus_1	median_signed_log2_error	median_absolute_log2_error	rmse_log2_tpm_plus_1	error_q10	error_q25	error_q75	error_q90	fraction_abs_error_le_0_5	fraction_abs_error_le_1	reproductive_state	replicate
Fe_An_BF_1	0.9168142870935394	0.9013268511265383	-0.45811414347236656	0.6666383914101797	1.0867563542091865	-1.2691245958074326	-0.98342428096425	0.010470964934588878	0.5836181550607858	0.4077043206663196	0.692660072878709	Antenna	1
Fe_An_BF_2	0.9218133436796996	0.9061467553256244	-0.3081719386704824	0.5653962895310434	1.0250478125828102	-1.0894555089263838	-0.8121383320473239	0.05854412326496283	0.7637854608286055	0.4555960437272254	0.7790733992712129	Antenna	2
Fe_An_BF_3	0.9173812128206558	0.9015960558279601	-0.3647398980568548	0.6033997854037034	1.063876289196984	-1.1587252808980426	-0.8775111992582847	0.0455673838642055	0.6860278066705515	0.43654346694429985	0.7422175950026028	Antenna	3
Fe_An_BF_4	0.9073989773878218	0.8917650321304249	-0.39811568184048773	0.6405514281177549	1.136539017844216	-1.2455621958834042	-0.9437839990323114	0.03763383700276955	0.701397128165626	0.41884435190005204	0.704841228526809	Antenna	4
Fe_An_O_2	0.9178864467449284	0.9014737213606574	-0.3588932679204371	0.5955277920322857	1.0379995786777716	-1.141884082109728	-0.8674001312607871	0.040723001908098175	0.7005345376246744	0.44362311296199897	0.7483602290473712	Antenna	2
Fe_An_O_3	0.9220662859565996	0.9070028168232579	-0.3496782525986093	0.5975282262401098	1.0239479023440987	-1.1418445275517894	-0.8665923234260102	0.08064265651024853	0.6976512183887379	0.44456012493492975	0.7496095783446122	Antenna	3
Fe_An_O_4	0.9206761641081203	0.904415558455112	-0.2977816635587749	0.5683858318462018	1.0241774931093992	-1.0892825884659658	-0.8133551119110072	0.08339856606125692	0.755489053422915	0.45934409161894846	0.7774076002082249	Antenna	4
Fe_An_SF_1	0.9337607619212465	0.9206464844514548	-0.14239843666047491	0.42473379266504807	0.9266859545654639	-0.7741781554150344	-0.5407045758229767	0.16561158865022563	0.9222256228386083	0.5612701717855284	0.8627798021863613	Antenna	1
Fe_An_SF_2	0.9307911075865044	0.9234005776167518	-0.09171701378490438	0.3925614984885235	0.9425150944486814	-0.749293231480246	-0.48338941973604665	0.18332998355288366	0.9600236879201929	0.5908381051535658	0.8541384695471109	Antenna	2
Fe_An_SF_3	0.9289419352010642	0.9202571997479182	-0.1054536661396529	0.4045221199056268	0.9513300685995981	-0.7782251912353734	-0.5107432481116618	0.16342329252402932	0.9312138314352366	0.5765747006767309	0.8528891202498698	Antenna	3
Fe_An_SF_4	0.9281848671094732	0.9190992492421735	-0.12112537590000193	0.4200844574349212	0.9577883131605496	-0.7955288409833309	-0.5313713718577189	0.158540398678801	0.918466212775224	0.5674128058302967	0.8514315460697554	Antenna	4
Fe_An_SF_5	0.9175207938930354	0.9018894566534309	-0.3805339540385244	0.6172675233370355	1.0695316227377494	-1.1976792571315296	-0.9101020958974315	0.03602556316103023	0.6579427514972344	0.43217074440395625	0.7281624154086414	Antenna	5
Fe_An_SF_6	0.9194733748296214	0.9045573099350149	-0.3605304505580662	0.6048658470780826	1.0548647519261867	-1.1580991281474955	-0.8783530678221338	0.048649122423037844	0.6874042693026654	0.4402915148360229	0.7416970327954191	Antenna	6
Fe_An_SF_7	0.9193096757009148	0.9033519571959457	-0.2976003736047961	0.5614743702518927	1.0421034737171562	-1.0819942334057333	-0.7994889371609473	0.07056931004546496	0.7655720748986203	0.460385216033316	0.781155648099948	Antenna	7
Fe_An_SF_8	0.9193531679093389	0.9036632383410038	-0.3508649903555563	0.5959192716785535	1.0531073466758354	-1.1508815114555457	-0.8647841081879315	0.05024117039044805	0.7033914149838425	0.4417490890161374	0.7466944299843832	Antenna	8
Fe_At_O_1	0.9305603635766238	0.919505248866133	-0.2628694286116957	0.5120357928478394	0.9620032285793928	-0.9340321851099777	-0.697723478198669	0.01778254567554871	0.7708324168264559	0.49109838625715774	0.8528891202498698	Abdominal Tip	1
Fe_At_O_2	0.9356928656927458	0.9277815043856785	-0.22680863928975237	0.4750415739222219	0.9368868113704448	-0.9083572928218577	-0.6578113593110775	0.024767065223204265	0.7347871458079631	0.5184799583550235	0.8617386777719938	Abdominal Tip	2
