sample	published_zero_to_reanalysis_nonzero	published_nonzero_to_reanalysis_zero	published_zero_to_reanalysis_ge_1	published_ge_1_to_reanalysis_zero	published_zero_to_reanalysis_ge_10	published_ge_10_to_reanalysis_zero	reproductive_state	replicate
Fe_An_BF_1	296	84	57	40	30	25	Antenna	1
Fe_An_BF_2	575	86	71	43	33	27	Antenna	2
Fe_An_BF_3	563	88	65	48	32	31	Antenna	3
Fe_An_BF_4	529	92	66	47	31	31	Antenna	4
Fe_An_O_2	226	90	55	44	28	30	Antenna	2
Fe_An_O_3	652	76	63	44	30	31	Antenna	3
Fe_An_O_4	584	83	64	45	31	30	Antenna	4
Fe_An_SF_1	542	100	69	32	37	18	Antenna	1
Fe_An_SF_2	158	136	62	37	32	14	Antenna	2
Fe_An_SF_3	166	137	63	43	32	22	Antenna	3
Fe_An_SF_4	173	119	65	41	35	17	Antenna	4
Fe_An_SF_5	486	75	60	37	30	26	Antenna	5
Fe_An_SF_6	565	75	58	42	28	30	Antenna	6
Fe_An_SF_7	545	77	63	39	31	31	Antenna	7
Fe_An_SF_8	562	94	69	42	32	30	Antenna	8
Fe_At_O_1	169	154	68	41	38	24	Abdominal Tip	1
Fe_At_O_2	173	153	64	36	34	19	Abdominal Tip	2
Fe_At_O_3	166	168	62	38	37	22	Abdominal Tip	3
Fe_At_O_4	167	138	62	33	38	20	Abdominal Tip	4
Fe_At_O_5	588	87	69	47	45	32	Abdominal Tip	5
Fe_At_O_6	610	83	64	47	40	35	Abdominal Tip	6
Fe_At_O_7	590	95	68	46	41	28	Abdominal Tip	7
Fe_At_SF_1	693	101	69	46	38	29	Abdominal Tip	1
Fe_At_SF_2	714	91	62	43	36	22	Abdominal Tip	2
Fe_At_SF_3	671	109	63	44	38	26	Abdominal Tip	3
Fe_Br_BF_1	648	76	74	41	39	27	Brain	1
Fe_Br_BF_2	692	83	70	45	40	30	Brain	2
Fe_Br_BF_3	711	68	66	36	35	25	Brain	3
Fe_Br_BF_4	729	76	71	45	46	33	Brain	4
Fe_Br_O_1	682	77	73	47	37	30	Brain	1
Fe_Br_O_2	506	111	67	46	38	33	Brain	2
Fe_Br_O_3	683	82	70	47	43	38	Brain	3
Fe_Br_O_4	621	77	69	41	41	33	Brain	4
Fe_Br_SF_1	260	139	75	35	45	19	Brain	1
Fe_Br_SF_4	193	175	77	69	42	38	Brain	4
Fe_Br_SF_5	713	50	67	37	37	25	Brain	5
Fe_Br_SF_6	684	71	63	46	38	32	Brain	6
Fe_Br_SF_7	740	81	77	45	43	34	Brain	7
Fe_Br_SF_8	730	78	76	44	44	32	Brain	8
Fe_FL_O_1	751	86	62	44	33	27	Forelegs	1
Fe_FL_O_2	195	193	66	56	41	23	Forelegs	2
Fe_FL_O_3	176	183	50	33	30	20	Forelegs	3
Fe_FL_O_4	177	201	58	47	39	22	Forelegs	4
Fe_FL_O_5	198	182	63	48	34	23	Forelegs	5
Fe_FL_O_6	732	83	65	39	36	21	Forelegs	6
Fe_FL_O_7	844	77	62	39	32	25	Forelegs	7
Fe_FL_SF_1	957	96	74	49	34	32	Forelegs	1
Fe_FL_SF_2	876	70	64	40	33	29	Forelegs	2
Fe_FL_SF_3	822	67	62	34	31	20	Forelegs	3
Fe_HL_BF_1	700	101	66	36	34	15	Hindlegs	1
Fe_HL_BF_2	595	92	67	41	37	22	Hindlegs	2
Fe_HL_BF_3	763	92	64	40	30	20	Hindlegs	3
Fe_HL_BF_4	797	67	60	33	32	18	Hindlegs	4
Fe_HL_O_1	268	198	56	46	33	23	Hindlegs	1
Fe_HL_O_2	181	183	52	35	35	17	Hindlegs	2
Fe_HL_O_3	194	203	59	39	38	20	Hindlegs	3
Fe_HL_O_4	187	188	54	34	34	15	Hindlegs	4
Fe_HL_O_5	202	205	57	49	38	20	Hindlegs	5
Fe_HL_O_6	786	57	54	35	28	22	Hindlegs	6
Fe_HL_O_7	805	66	56	37	27	25	Hindlegs	7
Fe_HL_O_8	841	85	63	42	36	24	Hindlegs	8
FE_HL_SF_1	754	50	58	26	26	16	Hindlegs	1
FE_HL_SF_2	728	90	64	38	34	21	Hindlegs	2
FE_HL_SF_3	732	90	69	36	42	21	Hindlegs	3
FE_HL_SF_4	865	87	61	40	36	22	Hindlegs	4
FE_HL_SF_5	801	98	70	48	34	25	Hindlegs	5
FE_HL_SF_6	758	59	55	34	30	22	Hindlegs	6
Fe_ML_O_1	871	85	61	39	34	25	Midlegs	1
Fe_ML_O_2	179	165	53	25	36	11	Midlegs	2
Fe_ML_O_3	180	183	61	46	35	28	Midlegs	3
Fe_ML_O_4	178	182	54	40	33	20	Midlegs	4
Fe_ML_O_5	947	79	64	44	32	29	Midlegs	5
Fe_ML_O_6	847	91	64	44	35	30	Midlegs	6
Fe_ML_O_7	179	183	55	40	33	18	Midlegs	7
Fe_ML_SF_1	1006	103	72	49	36	27	Midlegs	1
Fe_ML_SF_2	933	79	69	45	36	28	Midlegs	2
Fe_ML_SF_3	883	76	65	43	31	29	Midlegs	3
Fe_Os_SF_1	208	186	90	73	41	32	Proboscis	1
Fe_Os_SF_2	190	181	85	67	41	28	Proboscis	2
Fe_Os_SF_3	236	172	83	55	39	28	Proboscis	3
Fe_Os_SF_4	272	168	102	73	42	26	Proboscis	4
Fe_Os_SF_5	162	142	53	29	30	18	Proboscis	5
Fe_Ov_O_1	178	180	58	28	42	17	Ovaries	1
Fe_Ov_O_2	202	189	65	34	44	17	Ovaries	2
Fe_Ov_O_3	214	177	61	30	41	16	Ovaries	3
Fe_Ov_O_4	193	185	47	23	38	16	Ovaries	4
Fe_Ov_SF_1	170	173	53	32	38	16	Ovaries	1
Fe_Ov_SF_2	151	219	51	27	38	16	Ovaries	2
Fe_Ov_SF_3	181	202	66	44	45	22	Ovaries	3
Fe_Pa_SF_1	245	166	59	33	35	16	Palps	1
Fe_Pa_SF_2	195	199	96	88	39	39	Palps	2
Fe_Pa_SF_3	175	212	70	55	37	30	Palps	3
Fe_Pa_SF_4	204	168	64	37	37	17	Palps	4
Fe_Rs_BF_1	549	71	57	43	32	31	Rostrum	1
Fe_Rs_BF_2	549	81	60	44	36	32	Rostrum	2
Fe_Rs_BF_3	598	76	62	47	37	28	Rostrum	3
Fe_Rs_SF_1	573	73	60	45	34	27	Rostrum	1
Fe_Rs_SF_2	665	80	71	48	37	31	Rostrum	2
Fe_Rs_SF_3	535	89	64	47	34	32	Rostrum	3
Ma_An_1	172	189	65	48	39	27	Antenna	1
Ma_An_2	149	198	54	35	35	23	Antenna	2
Ma_An_3	174	222	63	44	40	27	Antenna	3
Ma_At_1	223	127	52	33	22	14	Abdominal Tip	1
Ma_At_2	170	157	49	31	23	15	Abdominal Tip	2
Ma_At_3	192	159	58	32	24	15	Abdominal Tip	3
Ma_Br_1	169	180	69	48	43	27	Brain	1
Ma_Br_2	160	194	70	46	45	23	Brain	2
Ma_Br_3	157	181	67	37	43	20	Brain	3
Ma_FL_1	183	164	58	35	39	22	Forelegs	1
Ma_FL_2	199	198	53	45	34	24	Forelegs	2
Ma_FL_3	190	171	66	42	38	25	Forelegs	3
Ma_HL_1	237	170	55	39	33	20	Hindlegs	1
Ma_HL_2	185	167	64	37	34	17	Hindlegs	2
Ma_HL_3	202	169	71	37	37	19	Hindlegs	3
Ma_HL_4	728	66	52	36	29	24	Hindlegs	4
Ma_HL_5	723	60	54	30	33	22	Hindlegs	5
Ma_ML_1	182	171	64	41	38	24	Midlegs	1
Ma_ML_2	183	181	56	39	35	19	Midlegs	2
Ma_ML_3	187	184	61	37	39	22	Midlegs	3
Ma_Rs_1	518	82	66	43	37	28	Rostrum	1
Ma_Rs_2	529	74	66	43	37	28	Rostrum	2
Ma_Rs_3	402	68	62	35	34	24	Rostrum	3
