nonzero_tpm_threshold	threshold_label	direction	gene_sample_pairs
0.0	>0	published 0 → reanalysis nonzero	50122
0.0	>0	published nonzero → reanalysis 0	14091
0.1	≥0.1	published 0 → reanalysis nonzero	20604
0.1	≥0.1	published nonzero → reanalysis 0	8958
1.0	≥1	published 0 → reanalysis nonzero	7736
1.0	≥1	published nonzero → reanalysis 0	5022
5.0	≥5	published 0 → reanalysis nonzero	5486
5.0	≥5	published nonzero → reanalysis 0	3727
10.0	≥10	published 0 → reanalysis nonzero	4355
10.0	≥10	published nonzero → reanalysis 0	2954
