embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Published	Fe_Ov_NBF_1_TPM	Non-blood-fed	-10.054630869983106	-18.666554017401563
separate_pca	Published	Fe_Ov_NBF_2_TPM	Non-blood-fed	-10.355593405737645	-18.151697473226392
separate_pca	Published	Fe_Ov_NBF_3_TPM	Non-blood-fed	-10.2698379961332	-17.815787141094184
separate_pca	Published	Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	-15.66021775848731	-7.361694857201979
separate_pca	Published	Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	-15.811521698551374	-14.604095226595977
separate_pca	Published	Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	-15.050637025874256	-12.084357702112595
separate_pca	Published	Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	-19.14134320698017	-7.911558433615959
separate_pca	Published	Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	-20.141443532463356	-5.798546401516342
separate_pca	Published	Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	-20.010305583749926	-9.617477712765256
separate_pca	Published	Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	-22.933321228939306	6.406332782544751
separate_pca	Published	Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	-22.982592975148094	2.615537500368513
separate_pca	Published	Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	-21.691740542091495	0.8405592838256094
separate_pca	Published	Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	-27.2457404727953	17.11210112561712
separate_pca	Published	Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	-26.6214751351358	16.3539902633321
separate_pca	Published	Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	-25.492488426537093	16.782014711060985
separate_pca	Published	Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	-23.431388064604075	37.12813331922816
separate_pca	Published	Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	-18.752988802494414	37.715022026218655
separate_pca	Published	Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	-20.868981039925867	36.66561784119028
separate_pca	Published	Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	57.47158294853394	26.340401996862703
separate_pca	Published	Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	41.23871767235176	5.158522316744645
separate_pca	Published	Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	57.770634312643956	25.286298309623927
separate_pca	Published	Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	29.315078718032236	-1.3324395420643298
separate_pca	Published	Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	32.33331663296126	-2.3600298809488462
separate_pca	Published	Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	31.325068845554895	-0.29803378981551754
separate_pca	Published	Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	20.63060807722043	-7.120141262969942
separate_pca	Published	Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	21.68582660881691	-9.451028151393349
separate_pca	Published	Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	20.60056303273171	-9.897635645794832
separate_pca	Published	Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	17.90013963373523	-9.725842005520164
separate_pca	Published	Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	19.47888307203158	-10.065158053822065
separate_pca	Published	Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	19.110156304051603	-10.552528007053928
separate_pca	Published	Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-6.356491305554838	-19.150490419706045
separate_pca	Published	Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-9.200202666143639	-18.8764004541561
separate_pca	Published	Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-6.787634121335205	-17.563035297842127
separate_pca	Reanalysis	Fe_Ov_NBF_1_TPM	Non-blood-fed	-9.626544734541897	-20.63374414094119
