sample	pearson_log2_tpm_plus_1	spearman_log2_tpm_plus_1	median_signed_log2_error	median_absolute_log2_error	rmse_log2_tpm_plus_1	error_q10	error_q25	error_q75	error_q90	fraction_abs_error_le_0_5	fraction_abs_error_le_1	reproductive_state	replicate
Fe_Ov_NBF_1_TPM	0.9923350003493967	0.9662111424520005	0.0	0.033879688369657046	0.3900130204644554	-0.2160835474325081	-0.06580725348668469	0.021398901445970286	0.04842195159570294	0.954824316787507	0.9754601226993865	Non-blood-fed	1
Fe_Ov_NBF_2_TPM	0.9930614934003165	0.969316963311782	0.0	0.03284468982757094	0.37310830456455946	-0.22082006760480516	-0.07606610236627898	0.014111822249660344	0.042218023532625625	0.950920245398773	0.9776910206358059	Non-blood-fed	2
Fe_Ov_NBF_3_TPM	0.992728029769899	0.968330169185153	0.0	0.03148346183205586	0.3818492822854367	-0.2277184297967102	-0.07233524776961398	0.011486796570074786	0.03800916468595887	0.9525934188510876	0.9782487451199108	Non-blood-fed	3
Fe_Ov_3hBF_1_TPM	0.9936110894492637	0.9692954318880392	0.0	0.03083843681744769	0.3576613299443082	-0.19430528583281972	-0.06254443101356433	0.015490629105056719	0.04266291833844579	0.9542665923034022	0.9788064696040156	3 hours post-blood-meal	1
Fe_Ov_3hBF_2_TPM	0.9926750494242704	0.9670800243354379	0.0	0.032502329633867344	0.38173466541913437	-0.21355869038801303	-0.06844350110487873	0.01757018653381015	0.04175272354804509	0.9542665923034022	0.9788064696040156	3 hours post-blood-meal	2
Fe_Ov_3hBF_3_TPM	0.9940659968127378	0.9696520695659971	0.0	0.028315975099736157	0.3453690064304725	-0.18439997570262623	-0.06235915851545659	0.015218948530588916	0.0403169766776128	0.9576129392080313	0.9804796430563302	3 hours post-blood-meal	3
Fe_Ov_6hBF_1_TPM	0.9926743425506976	0.9643102927194365	0.0	0.02716660705845264	0.38387025472928277	-0.2055904850576428	-0.061412704342278523	0.012330646261538902	0.03805106212518402	0.9520356943669828	0.9799219185722253	6 hours post-blood-meal	1
Fe_Ov_6hBF_2_TPM	0.9924100168447619	0.9621536332976743	0.0	0.027250716985188994	0.39288860625296174	-0.22823394838336897	-0.07057617914849282	0.010787209321450386	0.0345472404644548	0.9431121026213051	0.9765755716675962	6 hours post-blood-meal	2
Fe_Ov_6hBF_3_TPM	0.9927090309999406	0.9635081454581094	0.0	0.028639300343001217	0.38418352049377613	-0.20840694902929363	-0.0701863745142573	0.010949007140660966	0.03631349719695844	0.9486893474623536	0.9776910206358059	6 hours post-blood-meal	3
Fe_Ov_12hBF_1_TPM	0.9941736679693671	0.9649856597265699	0.0	0.023609177784596924	0.34814521761460027	-0.2128404089921399	-0.07139916200473806	0.005041775832994172	0.025207606033949715	0.9498047964305633	0.9793641940881205	12 hours post-blood-meal	1
Fe_Ov_12hBF_2_TPM	0.99277831903048	0.9598042972116392	0.0	0.022998015371246794	0.3843516102994876	-0.20578506424967488	-0.06380963794775274	0.008100797079459932	0.02853854608060935	0.9514779698828778	0.9788064696040156	12 hours post-blood-meal	2
Fe_Ov_12hBF_3_TPM	0.9923433840342895	0.9606429120658541	0.0	0.027122101349538685	0.395218848145878	-0.20679068769048756	-0.06618927217939996	0.011181756997532766	0.03537602927793326	0.9492470719464584	0.9788064696040156	12 hours post-blood-meal	3
Fe_Ov_24hBF_1_TPM	0.99287274449196	0.9637030325045992	-0.017096633291940222	0.026058459937064127	0.3808426066777206	-0.21841659351382972	-0.08709367507887134	0.0	0.00926563740256516	0.9492470719464584	0.9765755716675962	24 hours (1 day) post-blood-meal	1
Fe_Ov_24hBF_2_TPM	0.9924581442892002	0.9650419741639898	-0.012323974964453477	0.021651874026948903	0.3906721608808575	-0.2189547735424659	-0.0786278802455671	0.0	0.010400537801823215	0.9537088678192973	0.9776910206358059	24 hours (1 day) post-blood-meal	2
Fe_Ov_24hBF_3_TPM	0.9908771480240163	0.9575974407146215	-0.024306912480263065	0.03144649416009584	0.4304703145093212	-0.2441543714642557	-0.09491798751540692	0.0	0.005967061642027566	0.9447852760736196	0.973786949247072	24 hours (1 day) post-blood-meal	3
Fe_Ov_48hBF_1_TPM	0.9929473549874249	0.9569633320766437	-0.062083278923037	0.06664282790098319	0.36024885446260446	-0.21488222791678263	-0.10863450320715895	0.0	0.0	0.9576129392080313	0.9815950920245399	48 hours (2 days) post-blood-meal	1
Fe_Ov_48hBF_2_TPM	0.9919259281043398	0.959721445643515	-0.04566515673290095	0.050357302957521555	0.38282928213688583	-0.2008061462076591	-0.09272536921233065	0.0	3.5593680891510085e-06	0.9553820412716119	0.9821528165086447	48 hours (2 days) post-blood-meal	2
Fe_Ov_48hBF_3_TPM	0.9935847416150633	0.9641758270841808	-0.0595987983847928	0.06231101007733919	0.3509255963899747	-0.21009022103159658	-0.10061053560619404	0.0	0.0	0.9581706636921361	0.9827105409927496	48 hours (2 days) post-blood-meal	3
