sample	published_zero_to_reanalysis_nonzero	published_nonzero_to_reanalysis_zero	published_zero_to_reanalysis_ge_1	published_ge_1_to_reanalysis_zero	published_zero_to_reanalysis_ge_10	published_ge_10_to_reanalysis_zero	reproductive_state	replicate
Fe_Ov_NBF_1_TPM	191	1723	33	653	5	145	Non-blood-fed	1
Fe_Ov_NBF_2_TPM	208	1684	43	607	3	109	Non-blood-fed	2
Fe_Ov_NBF_3_TPM	203	1661	42	597	3	112	Non-blood-fed	3
Fe_Ov_3hBF_1_TPM	218	1589	51	569	4	107	3 hours post-blood-meal	1
Fe_Ov_3hBF_2_TPM	205	1724	45	651	4	136	3 hours post-blood-meal	2
Fe_Ov_3hBF_3_TPM	220	1616	39	543	5	100	3 hours post-blood-meal	3
Fe_Ov_6hBF_1_TPM	232	1625	48	578	3	126	6 hours post-blood-meal	1
Fe_Ov_6hBF_2_TPM	196	1744	40	668	3	157	6 hours post-blood-meal	2
Fe_Ov_6hBF_3_TPM	224	1689	43	641	4	137	6 hours post-blood-meal	3
Fe_Ov_12hBF_1_TPM	192	1655	40	616	3	117	12 hours post-blood-meal	1
Fe_Ov_12hBF_2_TPM	210	1689	43	621	5	139	12 hours post-blood-meal	2
Fe_Ov_12hBF_3_TPM	201	1679	34	615	3	139	12 hours post-blood-meal	3
Fe_Ov_24hBF_1_TPM	197	1650	52	629	6	129	24 hours (1 day) post-blood-meal	1
Fe_Ov_24hBF_2_TPM	210	1686	42	641	6	138	24 hours (1 day) post-blood-meal	2
Fe_Ov_24hBF_3_TPM	225	1760	55	688	5	163	24 hours (1 day) post-blood-meal	3
Fe_Ov_48hBF_1_TPM	206	1758	37	555	3	117	48 hours (2 days) post-blood-meal	1
Fe_Ov_48hBF_2_TPM	191	1661	37	529	5	108	48 hours (2 days) post-blood-meal	2
Fe_Ov_48hBF_3_TPM	220	1643	38	542	3	102	48 hours (2 days) post-blood-meal	3
Fe_Ov_72hBF_1_TPM	216	1431	41	450	6	89	72 hours (3 days) post-blood-meal	1
Fe_Ov_72hBF_2_TPM	211	1502	51	505	5	98	72 hours (3 days) post-blood-meal	2
Fe_Ov_72hBF_3_TPM	223	1495	46	560	7	107	72 hours (3 days) post-blood-meal	3
Fe_Ov_96hBF_1_TPM	240	1549	61	498	9	83	96 hours (4 days) post-blood-meal	1
Fe_Ov_96hBF_2_TPM	220	1541	56	507	7	84	96 hours (4 days) post-blood-meal	2
Fe_Ov_96hBF_3_TPM	233	1523	48	528	9	91	96 hours (4 days) post-blood-meal	3
Fe_Ov_6dBF_Retained_1_TPM	201	1555	54	492	8	91	6 days post-blood-meal (eggs retained)	1
Fe_Ov_6dBF_Retained_2_TPM	218	1482	48	480	7	94	6 days post-blood-meal (eggs retained)	2
Fe_Ov_6dBF_Retained_3_TPM	213	1564	51	523	9	92	6 days post-blood-meal (eggs retained)	3
Fe_Ov_6dBF_Laid_1_TPM	207	1701	47	782	3	212	6 days post-blood-meal (eggs laid <5 hours prior)	1
Fe_Ov_6dBF_Laid_2_TPM	206	1777	51	761	6	198	6 days post-blood-meal (eggs laid <5 hours prior)	2
Fe_Ov_6dBF_Laid_3_TPM	182	1687	30	682	1	160	6 days post-blood-meal (eggs laid <5 hours prior)	3
Fe_Ov_13dBF_1_TPM	186	1673	49	636	5	134	13 days post-blood-meal (eggs laid >1 week prior)	1
Fe_Ov_13dBF_2_TPM	208	1744	43	671	4	136	13 days post-blood-meal (eggs laid >1 week prior)	2
Fe_Ov_13dBF_3_TPM	211	1702	39	620	4	123	13 days post-blood-meal (eggs laid >1 week prior)	3
