contrast_id	dataset_key	variable	reference	target	result_file	method
Fe_An_O_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_An_O	DE_Fe_An_O_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_An_SF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_An_SF	DE_Fe_An_SF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_An_SF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_An_SF	DE_Fe_An_SF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_At_O_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_At_O	DE_Fe_At_O_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_At_O_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_At_O	DE_Fe_At_O_vs_Fe_An_O.tsv.gz	DESeq2
Fe_At_O_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_At_O	DE_Fe_At_O_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_At_SF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_At_SF	DE_Fe_At_SF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_At_SF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_At_SF	DE_Fe_At_SF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_At_SF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_At_SF	DE_Fe_At_SF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_At_SF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_At_SF	DE_Fe_At_SF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_Br_BF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_Br_BF	DE_Fe_Br_BF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_Br_BF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_Br_BF	DE_Fe_Br_BF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_Br_BF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_Br_BF	DE_Fe_Br_BF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_Br_BF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_Br_BF	DE_Fe_Br_BF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_Br_BF_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_Br_BF	DE_Fe_Br_BF_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_Br_O	DE_Fe_Br_O_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_Br_O	DE_Fe_Br_O_vs_Fe_An_O.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_Br_O	DE_Fe_Br_O_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_Br_O	DE_Fe_Br_O_vs_Fe_At_O.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_Br_O	DE_Fe_Br_O_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_Br_O_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_Br_O	DE_Fe_Br_O_vs_Fe_Br_BF.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_Br_BF.tsv.gz	DESeq2
Fe_Br_SF_vs_Fe_Br_O	atlas	condition	Fe_Br_O	Fe_Br_SF	DE_Fe_Br_SF_vs_Fe_Br_O.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_FL_O	DE_Fe_FL_O_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_FL_O	DE_Fe_FL_O_vs_Fe_An_O.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_FL_O	DE_Fe_FL_O_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_FL_O	DE_Fe_FL_O_vs_Fe_At_O.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_FL_O	DE_Fe_FL_O_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_FL_O	DE_Fe_FL_O_vs_Fe_Br_BF.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_Br_O	atlas	condition	Fe_Br_O	Fe_FL_O	DE_Fe_FL_O_vs_Fe_Br_O.tsv.gz	DESeq2
Fe_FL_O_vs_Fe_Br_SF	atlas	condition	Fe_Br_SF	Fe_FL_O	DE_Fe_FL_O_vs_Fe_Br_SF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_Br_BF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_Br_O	atlas	condition	Fe_Br_O	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_Br_O.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_Br_SF	atlas	condition	Fe_Br_SF	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_Br_SF.tsv.gz	DESeq2
Fe_FL_SF_vs_Fe_FL_O	atlas	condition	Fe_FL_O	Fe_FL_SF	DE_Fe_FL_SF_vs_Fe_FL_O.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_An_BF	atlas	condition	Fe_An_BF	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_An_BF.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_An_O	atlas	condition	Fe_An_O	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_An_O.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_An_SF	atlas	condition	Fe_An_SF	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_An_SF.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_At_O	atlas	condition	Fe_At_O	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_At_O.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_At_SF	atlas	condition	Fe_At_SF	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_At_SF.tsv.gz	DESeq2
Fe_HL_BF_vs_Fe_Br_BF	atlas	condition	Fe_Br_BF	Fe_HL_BF	DE_Fe_HL_BF_vs_Fe_Br_BF.tsv.gz	DESeq2
