sample	reproductive_state	replicate	sample_accession	sample_alias
Fe_Ov_NBF_1_TPM	Non-blood-fed	1	SAMN24844664	GSM5808243
Fe_Ov_NBF_2_TPM	Non-blood-fed	2	SAMN24844663	GSM5808244
Fe_Ov_NBF_3_TPM	Non-blood-fed	3	SAMN24844662	GSM5808245
Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	1	SAMN24844661	GSM5808246
Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	2	SAMN24844660	GSM5808247
Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	3	SAMN24844659	GSM5808248
Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	1	SAMN24844658	GSM5808249
Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	2	SAMN24844657	GSM5808250
Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	3	SAMN24844656	GSM5808251
Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	1	SAMN24844655	GSM5808252
Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	2	SAMN24844654	GSM5808253
Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	3	SAMN24844653	GSM5808254
Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	1	SAMN24844652	GSM5808255
Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	2	SAMN24844651	GSM5808256
Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	3	SAMN24844650	GSM5808257
Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	1	SAMN24844649	GSM5808258
Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	2	SAMN24844648	GSM5808259
Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	3	SAMN24844647	GSM5808260
Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	1	SAMN24844646	GSM5808261
Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	2	SAMN24844645	GSM5808262
Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	3	SAMN24844644	GSM5808263
Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	1	SAMN24844643	GSM5808264
Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	2	SAMN24844642	GSM5808265
Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	3	SAMN24844641	GSM5808266
Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	1	SAMN24844640	GSM5808267
Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	2	SAMN24844639	GSM5808268
Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	3	SAMN24844638	GSM5808269
Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	1	SAMN24844637	GSM5808270
Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	2	SAMN24844636	GSM5808271
Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	3	SAMN24844635	GSM5808272
Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	1	SAMN24844634	GSM5808273
Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	2	SAMN24844633	GSM5808274
Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	3	SAMN24844632	GSM5808275
