contrast_id	dataset_key	variable	reference	target	result_file	method
female_3hBF_vs_female_NBF	elife	condition	female_NBF	female_3hBF	female_3hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6hBF_vs_female_NBF	elife	condition	female_NBF	female_6hBF	female_6hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_NBF	elife	condition	female_NBF	female_12hBF	female_12hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_NBF	elife	condition	female_NBF	female_24hBF	female_24hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_NBF	elife	condition	female_NBF	female_48hBF	female_48hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_NBF	elife	condition	female_NBF	female_72hBF	female_72hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_NBF	elife	condition	female_NBF	female_96hBF	female_96hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_NBF	elife	condition	female_NBF	female_6dBF_retained	female_6dBF_retained_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_NBF	elife	condition	female_NBF	female_6dBF_laid	female_6dBF_laid_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_NBF	elife	condition	female_NBF	female_13dBF	female_13dBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6hBF_vs_female_3hBF	elife	condition	female_3hBF	female_6hBF	female_6hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_3hBF	elife	condition	female_3hBF	female_12hBF	female_12hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_3hBF	elife	condition	female_3hBF	female_24hBF	female_24hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_3hBF	elife	condition	female_3hBF	female_48hBF	female_48hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_3hBF	elife	condition	female_3hBF	female_72hBF	female_72hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_3hBF	elife	condition	female_3hBF	female_96hBF	female_96hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_3hBF	elife	condition	female_3hBF	female_6dBF_retained	female_6dBF_retained_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_3hBF	elife	condition	female_3hBF	female_6dBF_laid	female_6dBF_laid_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_3hBF	elife	condition	female_3hBF	female_13dBF	female_13dBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_6hBF	elife	condition	female_6hBF	female_12hBF	female_12hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_6hBF	elife	condition	female_6hBF	female_24hBF	female_24hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_6hBF	elife	condition	female_6hBF	female_48hBF	female_48hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_6hBF	elife	condition	female_6hBF	female_72hBF	female_72hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_6hBF	elife	condition	female_6hBF	female_96hBF	female_96hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_6hBF	elife	condition	female_6hBF	female_6dBF_retained	female_6dBF_retained_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_6hBF	elife	condition	female_6hBF	female_6dBF_laid	female_6dBF_laid_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_6hBF	elife	condition	female_6hBF	female_13dBF	female_13dBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_12hBF	elife	condition	female_12hBF	female_24hBF	female_24hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_12hBF	elife	condition	female_12hBF	female_48hBF	female_48hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_12hBF	elife	condition	female_12hBF	female_72hBF	female_72hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_12hBF	elife	condition	female_12hBF	female_96hBF	female_96hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_12hBF	elife	condition	female_12hBF	female_6dBF_retained	female_6dBF_retained_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_12hBF	elife	condition	female_12hBF	female_6dBF_laid	female_6dBF_laid_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_12hBF	elife	condition	female_12hBF	female_13dBF	female_13dBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_24hBF	elife	condition	female_24hBF	female_48hBF	female_48hBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_24hBF	elife	condition	female_24hBF	female_72hBF	female_72hBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_24hBF	elife	condition	female_24hBF	female_96hBF	female_96hBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_24hBF	elife	condition	female_24hBF	female_6dBF_retained	female_6dBF_retained_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_24hBF	elife	condition	female_24hBF	female_6dBF_laid	female_6dBF_laid_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_24hBF	elife	condition	female_24hBF	female_13dBF	female_13dBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_48hBF	elife	condition	female_48hBF	female_72hBF	female_72hBF_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_48hBF	elife	condition	female_48hBF	female_96hBF	female_96hBF_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_48hBF	elife	condition	female_48hBF	female_6dBF_retained	female_6dBF_retained_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_48hBF	elife	condition	female_48hBF	female_6dBF_laid	female_6dBF_laid_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_48hBF	elife	condition	female_48hBF	female_13dBF	female_13dBF_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
female_96hBF_vs_female_72hBF	elife	condition	female_72hBF	female_96hBF	female_96hBF_vs_female_72hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_72hBF	elife	condition	female_72hBF	female_6dBF_retained	female_6dBF_retained_vs_female_72hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_72hBF	elife	condition	female_72hBF	female_6dBF_laid	female_6dBF_laid_vs_female_72hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_72hBF	elife	condition	female_72hBF	female_13dBF	female_13dBF_vs_female_72hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_retained_vs_female_96hBF	elife	condition	female_96hBF	female_6dBF_retained	female_6dBF_retained_vs_female_96hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_96hBF	elife	condition	female_96hBF	female_6dBF_laid	female_6dBF_laid_vs_female_96hBF.deseq2.results.tsv.gz	DESeq2
female_13dBF_vs_female_96hBF	elife	condition	female_96hBF	female_13dBF	female_13dBF_vs_female_96hBF.deseq2.results.tsv.gz	DESeq2
female_6dBF_laid_vs_female_6dBF_retained	elife	condition	female_6dBF_retained	female_6dBF_laid	female_6dBF_laid_vs_female_6dBF_retained.deseq2.results.tsv.gz	DESeq2
