contrast_id	dataset_key	variable	reference	target	result_file	method
female_3hBF_vs_female_NBF	midgut	condition	female_NBF	female_3hBF	female_3hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6hBF_vs_female_NBF	midgut	condition	female_NBF	female_6hBF	female_6hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_NBF	midgut	condition	female_NBF	female_12hBF	female_12hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_NBF	midgut	condition	female_NBF	female_24hBF	female_24hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_NBF	midgut	condition	female_NBF	female_48hBF	female_48hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_NBF	midgut	condition	female_NBF	female_72hBF	female_72hBF_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_NBF	midgut	condition	female_NBF	male_midgut	male_midgut_vs_female_NBF.deseq2.results.tsv.gz	DESeq2
female_6hBF_vs_female_3hBF	midgut	condition	female_3hBF	female_6hBF	female_6hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_3hBF	midgut	condition	female_3hBF	female_12hBF	female_12hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_3hBF	midgut	condition	female_3hBF	female_24hBF	female_24hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_3hBF	midgut	condition	female_3hBF	female_48hBF	female_48hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_3hBF	midgut	condition	female_3hBF	female_72hBF	female_72hBF_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_3hBF	midgut	condition	female_3hBF	male_midgut	male_midgut_vs_female_3hBF.deseq2.results.tsv.gz	DESeq2
female_12hBF_vs_female_6hBF	midgut	condition	female_6hBF	female_12hBF	female_12hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_6hBF	midgut	condition	female_6hBF	female_24hBF	female_24hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_6hBF	midgut	condition	female_6hBF	female_48hBF	female_48hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_6hBF	midgut	condition	female_6hBF	female_72hBF	female_72hBF_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_6hBF	midgut	condition	female_6hBF	male_midgut	male_midgut_vs_female_6hBF.deseq2.results.tsv.gz	DESeq2
female_24hBF_vs_female_12hBF	midgut	condition	female_12hBF	female_24hBF	female_24hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_12hBF	midgut	condition	female_12hBF	female_48hBF	female_48hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_12hBF	midgut	condition	female_12hBF	female_72hBF	female_72hBF_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_12hBF	midgut	condition	female_12hBF	male_midgut	male_midgut_vs_female_12hBF.deseq2.results.tsv.gz	DESeq2
female_48hBF_vs_female_24hBF	midgut	condition	female_24hBF	female_48hBF	female_48hBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_24hBF	midgut	condition	female_24hBF	female_72hBF	female_72hBF_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_24hBF	midgut	condition	female_24hBF	male_midgut	male_midgut_vs_female_24hBF.deseq2.results.tsv.gz	DESeq2
female_72hBF_vs_female_48hBF	midgut	condition	female_48hBF	female_72hBF	female_72hBF_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_48hBF	midgut	condition	female_48hBF	male_midgut	male_midgut_vs_female_48hBF.deseq2.results.tsv.gz	DESeq2
male_midgut_vs_female_72hBF	midgut	condition	female_72hBF	male_midgut	male_midgut_vs_female_72hBF.deseq2.results.tsv.gz	DESeq2
