sample,condition,sex,timepoint,replicate,sample_number
Ma-Mg-1_S1,male_midgut,male,not_applicable,1,1
Ma-Mg-2_S2,male_midgut,male,not_applicable,2,2
Ma-Mg-3_S3,male_midgut,male,not_applicable,3,3
Fe-Mg-NBF-1_S4,female_NBF,female,NBF,1,4
Fe-Mg-NBF-2_S5,female_NBF,female,NBF,2,5
Fe-Mg-NBF-3_S6,female_NBF,female,NBF,3,6
Fe-Mg-3hBF-1_S7,female_3hBF,female,3hBF,1,7
Fe-Mg-3hBF-2_S8,female_3hBF,female,3hBF,2,8
Fe-Mg-3hBF-3_S9,female_3hBF,female,3hBF,3,9
Fe-Mg-6hBF-1_S10,female_6hBF,female,6hBF,1,10
Fe-Mg-6hBF-2_S11,female_6hBF,female,6hBF,2,11
Fe-Mg-6hBF-6_S12,female_6hBF,female,6hBF,6,12
Fe-Mg-12hBF-1_S13,female_12hBF,female,12hBF,1,13
Fe-Mg-12hBF-2_S14,female_12hBF,female,12hBF,2,14
Fe-Mg-12hBF-3_S15,female_12hBF,female,12hBF,3,15
Fe-Mg-24hBF-1_S16,female_24hBF,female,24hBF,1,16
Fe-Mg-24hBF-2_S17,female_24hBF,female,24hBF,2,17
Fe-Mg-24hBF-3_S18,female_24hBF,female,24hBF,3,18
Fe-Mg-48hBF-1_S19,female_48hBF,female,48hBF,1,19
Fe-Mg-48hBF-2_S20,female_48hBF,female,48hBF,2,20
Fe-Mg-48hBF-3_S21,female_48hBF,female,48hBF,3,21
Fe-Mg-72hBF-1_S22,female_72hBF,female,72hBF,1,22
Fe-Mg-72hBF-2_S23,female_72hBF,female,72hBF,2,23
Fe-Mg-72hBF-3_S24,female_72hBF,female,72hBF,3,24
