contrast_id	dataset_key	variable	reference	target	result_file	method
13dBF_vs_12hBF	elife	condition	12hBF	13dBF	DE_13dBF_vs_12hBF.tsv.gz	DESeq2
24hBF_vs_12hBF	elife	condition	12hBF	24hBF	DE_24hBF_vs_12hBF.tsv.gz	DESeq2
24hBF_vs_13dBF	elife	condition	13dBF	24hBF	DE_24hBF_vs_13dBF.tsv.gz	DESeq2
3hBF_vs_12hBF	elife	condition	12hBF	3hBF	DE_3hBF_vs_12hBF.tsv.gz	DESeq2
3hBF_vs_13dBF	elife	condition	13dBF	3hBF	DE_3hBF_vs_13dBF.tsv.gz	DESeq2
3hBF_vs_24hBF	elife	condition	24hBF	3hBF	DE_3hBF_vs_24hBF.tsv.gz	DESeq2
48hBF_vs_12hBF	elife	condition	12hBF	48hBF	DE_48hBF_vs_12hBF.tsv.gz	DESeq2
48hBF_vs_13dBF	elife	condition	13dBF	48hBF	DE_48hBF_vs_13dBF.tsv.gz	DESeq2
48hBF_vs_24hBF	elife	condition	24hBF	48hBF	DE_48hBF_vs_24hBF.tsv.gz	DESeq2
48hBF_vs_3hBF	elife	condition	3hBF	48hBF	DE_48hBF_vs_3hBF.tsv.gz	DESeq2
6dBF.Laid_vs_12hBF	elife	condition	12hBF	6dBF.Laid	DE_6dBF.Laid_vs_12hBF.tsv.gz	DESeq2
6dBF.Laid_vs_13dBF	elife	condition	13dBF	6dBF.Laid	DE_6dBF.Laid_vs_13dBF.tsv.gz	DESeq2
6dBF.Laid_vs_24hBF	elife	condition	24hBF	6dBF.Laid	DE_6dBF.Laid_vs_24hBF.tsv.gz	DESeq2
6dBF.Laid_vs_3hBF	elife	condition	3hBF	6dBF.Laid	DE_6dBF.Laid_vs_3hBF.tsv.gz	DESeq2
6dBF.Laid_vs_48hBF	elife	condition	48hBF	6dBF.Laid	DE_6dBF.Laid_vs_48hBF.tsv.gz	DESeq2
6dBF.Retained_vs_12hBF	elife	condition	12hBF	6dBF.Retained	DE_6dBF.Retained_vs_12hBF.tsv.gz	DESeq2
6dBF.Retained_vs_13dBF	elife	condition	13dBF	6dBF.Retained	DE_6dBF.Retained_vs_13dBF.tsv.gz	DESeq2
6dBF.Retained_vs_24hBF	elife	condition	24hBF	6dBF.Retained	DE_6dBF.Retained_vs_24hBF.tsv.gz	DESeq2
6dBF.Retained_vs_3hBF	elife	condition	3hBF	6dBF.Retained	DE_6dBF.Retained_vs_3hBF.tsv.gz	DESeq2
6dBF.Retained_vs_48hBF	elife	condition	48hBF	6dBF.Retained	DE_6dBF.Retained_vs_48hBF.tsv.gz	DESeq2
6dBF.Retained_vs_6dBF.Laid	elife	condition	6dBF.Laid	6dBF.Retained	DE_6dBF.Retained_vs_6dBF.Laid.tsv.gz	DESeq2
6hBF_vs_12hBF	elife	condition	12hBF	6hBF	DE_6hBF_vs_12hBF.tsv.gz	DESeq2
6hBF_vs_13dBF	elife	condition	13dBF	6hBF	DE_6hBF_vs_13dBF.tsv.gz	DESeq2
6hBF_vs_24hBF	elife	condition	24hBF	6hBF	DE_6hBF_vs_24hBF.tsv.gz	DESeq2
6hBF_vs_3hBF	elife	condition	3hBF	6hBF	DE_6hBF_vs_3hBF.tsv.gz	DESeq2
6hBF_vs_48hBF	elife	condition	48hBF	6hBF	DE_6hBF_vs_48hBF.tsv.gz	DESeq2
6hBF_vs_6dBF.Laid	elife	condition	6dBF.Laid	6hBF	DE_6hBF_vs_6dBF.Laid.tsv.gz	DESeq2
6hBF_vs_6dBF.Retained	elife	condition	6dBF.Retained	6hBF	DE_6hBF_vs_6dBF.Retained.tsv.gz	DESeq2
72hBF_vs_12hBF	elife	condition	12hBF	72hBF	DE_72hBF_vs_12hBF.tsv.gz	DESeq2
