contrast_id	dataset_key	variable	reference	target	result_file	method
FB_16h_vs_FB_12h	yedlin	condition	FB_12h	FB_16h	DE_FB_16h_vs_FB_12h.tsv.gz	DESeq2
FB_20h_vs_FB_12h	yedlin	condition	FB_12h	FB_20h	DE_FB_20h_vs_FB_12h.tsv.gz	DESeq2
FB_20h_vs_FB_16h	yedlin	condition	FB_16h	FB_20h	DE_FB_20h_vs_FB_16h.tsv.gz	DESeq2
FB_4h_vs_FB_12h	yedlin	condition	FB_12h	FB_4h	DE_FB_4h_vs_FB_12h.tsv.gz	DESeq2
FB_4h_vs_FB_16h	yedlin	condition	FB_16h	FB_4h	DE_FB_4h_vs_FB_16h.tsv.gz	DESeq2
FB_4h_vs_FB_20h	yedlin	condition	FB_20h	FB_4h	DE_FB_4h_vs_FB_20h.tsv.gz	DESeq2
FB_8h_vs_FB_12h	yedlin	condition	FB_12h	FB_8h	DE_FB_8h_vs_FB_12h.tsv.gz	DESeq2
FB_8h_vs_FB_16h	yedlin	condition	FB_16h	FB_8h	DE_FB_8h_vs_FB_16h.tsv.gz	DESeq2
FB_8h_vs_FB_20h	yedlin	condition	FB_20h	FB_8h	DE_FB_8h_vs_FB_20h.tsv.gz	DESeq2
FB_8h_vs_FB_4h	yedlin	condition	FB_4h	FB_8h	DE_FB_8h_vs_FB_4h.tsv.gz	DESeq2
FB_NBF_vs_FB_12h	yedlin	condition	FB_12h	FB_NBF	DE_FB_NBF_vs_FB_12h.tsv.gz	DESeq2
FB_NBF_vs_FB_16h	yedlin	condition	FB_16h	FB_NBF	DE_FB_NBF_vs_FB_16h.tsv.gz	DESeq2
FB_NBF_vs_FB_20h	yedlin	condition	FB_20h	FB_NBF	DE_FB_NBF_vs_FB_20h.tsv.gz	DESeq2
FB_NBF_vs_FB_4h	yedlin	condition	FB_4h	FB_NBF	DE_FB_NBF_vs_FB_4h.tsv.gz	DESeq2
FB_NBF_vs_FB_8h	yedlin	condition	FB_8h	FB_NBF	DE_FB_NBF_vs_FB_8h.tsv.gz	DESeq2
MT_12h_vs_FB_12h	yedlin	condition	FB_12h	MT_12h	DE_MT_12h_vs_FB_12h.tsv.gz	DESeq2
MT_12h_vs_FB_16h	yedlin	condition	FB_16h	MT_12h	DE_MT_12h_vs_FB_16h.tsv.gz	DESeq2
MT_12h_vs_FB_20h	yedlin	condition	FB_20h	MT_12h	DE_MT_12h_vs_FB_20h.tsv.gz	DESeq2
MT_12h_vs_FB_4h	yedlin	condition	FB_4h	MT_12h	DE_MT_12h_vs_FB_4h.tsv.gz	DESeq2
MT_12h_vs_FB_8h	yedlin	condition	FB_8h	MT_12h	DE_MT_12h_vs_FB_8h.tsv.gz	DESeq2
